date,interval_start_local,interval_end_local,interval_start_utc,interval_end_utc,system_balance_source_provider,system_balance_source_family,system_balance_source_key,system_balance_source_dataset_keys,system_balance_source_published_utc,system_balance_feed_available_flag,system_balance_known_flag,system_balance_active_flag,system_balance_state,system_balance_imbalance_mw,system_balance_indicated_demand_mw,system_balance_indicated_generation_mw,system_balance_indicated_margin_mw,system_balance_demand_minus_generation_mw,system_balance_margin_ratio,system_balance_imbalance_direction_bucket,system_balance_margin_direction_bucket,source_lineage
2024-07-29,2024-07-29 00:00:00+01:00,2024-07-29 01:00:00+01:00,2024-07-28 23:00:00+00:00,2024-07-29 00:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-28 23:15:00+00:00,True,False,True,balanced_or_loose,8.0,-11139.0,20109.0,35860.0,-31248.0,3.2193195080348325,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 01:00:00+01:00,2024-07-29 02:00:00+01:00,2024-07-29 00:00:00+00:00,2024-07-29 01:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 00:15:00+00:00,True,False,True,balanced_or_loose,37.0,-11193.5,19803.5,36559.5,-30997.0,3.2661365971322645,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 02:00:00+01:00,2024-07-29 03:00:00+01:00,2024-07-29 01:00:00+00:00,2024-07-29 02:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 01:15:00+00:00,True,False,True,moderate_imbalance,-348.0,-11203.0,19194.5,36469.5,-30397.5,3.2553333928412034,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 03:00:00+01:00,2024-07-29 04:00:00+01:00,2024-07-29 02:00:00+00:00,2024-07-29 03:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 02:15:00+00:00,True,False,True,moderate_imbalance,-250.5,-11257.0,18947.0,37181.0,-30204.0,3.302922625921649,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 04:00:00+01:00,2024-07-29 05:00:00+01:00,2024-07-29 03:00:00+00:00,2024-07-29 04:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 03:15:00+00:00,True,False,True,moderate_imbalance,-316.0,-11168.0,18843.5,37537.0,-30011.5,3.3611210601719197,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 05:00:00+01:00,2024-07-29 06:00:00+01:00,2024-07-29 04:00:00+00:00,2024-07-29 05:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 04:15:00+00:00,True,False,True,balanced_or_loose,-196.0,-11065.5,19003.5,37551.0,-30069.0,3.3935204012471196,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 06:00:00+01:00,2024-07-29 07:00:00+01:00,2024-07-29 05:00:00+00:00,2024-07-29 06:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 05:15:00+00:00,True,False,True,moderate_imbalance,500.0,-12690.0,22135.5,35498.0,-34825.5,2.7973207249802994,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 07:00:00+01:00,2024-07-29 08:00:00+01:00,2024-07-29 06:00:00+00:00,2024-07-29 07:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 06:15:00+00:00,True,False,True,moderate_imbalance,781.0,-14421.5,24591.5,34013.5,-39013.0,2.3585271989737544,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 08:00:00+01:00,2024-07-29 09:00:00+01:00,2024-07-29 07:00:00+00:00,2024-07-29 08:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 07:15:00+00:00,True,False,True,moderate_imbalance,792.5,-15791.5,25465.5,33440.0,-41257.0,2.1175949086533894,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 09:00:00+01:00,2024-07-29 10:00:00+01:00,2024-07-29 08:00:00+00:00,2024-07-29 09:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 08:15:00+00:00,True,False,True,moderate_imbalance,664.0,-16038.5,24653.0,33310.5,-40691.5,2.076908688468373,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 10:00:00+01:00,2024-07-29 11:00:00+01:00,2024-07-29 09:00:00+00:00,2024-07-29 10:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 09:15:00+00:00,True,False,True,balanced_or_loose,171.5,-16158.5,23493.0,33153.5,-39651.5,2.051768419098307,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 11:00:00+01:00,2024-07-29 12:00:00+01:00,2024-07-29 10:00:00+00:00,2024-07-29 11:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 10:15:00+00:00,True,False,True,moderate_imbalance,-648.0,-15956.0,21861.5,33662.5,-37817.5,2.109707946853848,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 12:00:00+01:00,2024-07-29 13:00:00+01:00,2024-07-29 11:00:00+00:00,2024-07-29 12:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 11:15:00+00:00,True,False,True,balanced_or_loose,-202.5,-15579.0,21988.5,33853.5,-37567.5,2.1730213749277874,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 13:00:00+01:00,2024-07-29 14:00:00+01:00,2024-07-29 12:00:00+00:00,2024-07-29 13:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 12:15:00+00:00,True,False,True,balanced_or_loose,-181.0,-15442.0,21652.5,34089.0,-37094.5,2.2075508353840174,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 14:00:00+01:00,2024-07-29 15:00:00+01:00,2024-07-29 13:00:00+00:00,2024-07-29 14:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 13:15:00+00:00,True,False,True,balanced_or_loose,173.0,-15417.0,21670.5,34503.5,-37087.5,2.2380164753194527,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 15:00:00+01:00,2024-07-29 16:00:00+01:00,2024-07-29 14:00:00+00:00,2024-07-29 15:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 14:15:00+00:00,True,False,True,balanced_or_loose,222.0,-15402.0,22532.5,34113.5,-37934.5,2.2148746915984936,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 16:00:00+01:00,2024-07-29 17:00:00+01:00,2024-07-29 15:00:00+00:00,2024-07-29 16:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 15:16:00+00:00,True,False,True,moderate_imbalance,617.0,-15994.5,24708.0,32489.5,-40702.5,2.031292006627278,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 17:00:00+01:00,2024-07-29 18:00:00+01:00,2024-07-29 16:00:00+00:00,2024-07-29 17:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 16:15:00+00:00,True,False,True,balanced_or_loose,-95.0,-16741.0,26832.0,27795.5,-43573.0,1.6603249507197897,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 18:00:00+01:00,2024-07-29 19:00:00+01:00,2024-07-29 17:00:00+00:00,2024-07-29 18:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 17:15:00+00:00,True,False,True,balanced_or_loose,-196.0,-17334.0,29079.0,26376.0,-46413.0,1.5216337833160263,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 19:00:00+01:00,2024-07-29 20:00:00+01:00,2024-07-29 18:00:00+00:00,2024-07-29 19:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 18:15:00+00:00,True,False,True,moderate_imbalance,-488.5,-17865.0,30025.0,24536.0,-47890.0,1.373411698852505,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 20:00:00+01:00,2024-07-29 21:00:00+01:00,2024-07-29 19:00:00+00:00,2024-07-29 20:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 19:15:00+00:00,True,False,True,moderate_imbalance,-894.0,-17554.5,29757.0,23883.5,-47311.5,1.3605343359252613,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 21:00:00+01:00,2024-07-29 22:00:00+01:00,2024-07-29 20:00:00+00:00,2024-07-29 21:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 20:15:00+00:00,True,False,True,moderate_imbalance,-469.0,-16696.5,29190.5,25149.5,-45887.0,1.5062737699517863,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 22:00:00+01:00,2024-07-29 23:00:00+01:00,2024-07-29 21:00:00+00:00,2024-07-29 22:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 21:15:00+00:00,True,False,True,balanced_or_loose,-210.0,-15494.0,27381.5,27389.0,-42875.5,1.7677165354330708,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-29,2024-07-29 23:00:00+01:00,2024-07-30 00:00:00+01:00,2024-07-29 22:00:00+00:00,2024-07-29 23:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 22:15:00+00:00,True,False,True,balanced_or_loose,107.0,-14153.5,25161.5,30247.0,-39315.0,2.1370685696117566,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 00:00:00+01:00,2024-07-30 01:00:00+01:00,2024-07-29 23:00:00+00:00,2024-07-30 00:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-29 23:15:00+00:00,True,False,True,balanced_or_loose,169.0,-13547.5,23746.0,32443.5,-37293.5,2.394796087839085,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 01:00:00+01:00,2024-07-30 02:00:00+01:00,2024-07-30 00:00:00+00:00,2024-07-30 01:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 00:15:00+00:00,True,False,True,balanced_or_loose,185.0,-13077.5,22931.0,33643.5,-36008.5,2.5726247371439497,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 02:00:00+01:00,2024-07-30 03:00:00+01:00,2024-07-30 01:00:00+00:00,2024-07-30 02:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 01:15:00+00:00,True,False,True,balanced_or_loose,-236.5,-13094.0,22067.5,33440.0,-35161.5,2.553841454101115,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 03:00:00+01:00,2024-07-30 04:00:00+01:00,2024-07-30 02:00:00+00:00,2024-07-30 03:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 02:15:00+00:00,True,False,True,balanced_or_loose,-6.0,-12885.0,21961.5,33914.5,-34846.5,2.63209157935584,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 04:00:00+01:00,2024-07-30 05:00:00+01:00,2024-07-30 03:00:00+00:00,2024-07-30 04:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 03:15:00+00:00,True,False,True,balanced_or_loose,-190.0,-12770.0,21605.5,34036.5,-34375.5,2.6653484729835553,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 05:00:00+01:00,2024-07-30 06:00:00+01:00,2024-07-30 04:00:00+00:00,2024-07-30 05:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 04:15:00+00:00,True,False,True,balanced_or_loose,-63.5,-12912.0,21916.0,33698.5,-34828.0,2.6098590458488227,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 06:00:00+01:00,2024-07-30 07:00:00+01:00,2024-07-30 05:00:00+00:00,2024-07-30 06:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 05:15:00+00:00,True,False,True,moderate_imbalance,-555.5,-14218.5,23267.5,31487.5,-37486.0,2.214544431550445,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 07:00:00+01:00,2024-07-30 08:00:00+01:00,2024-07-30 06:00:00+00:00,2024-07-30 07:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 06:15:00+00:00,True,False,True,balanced_or_loose,-57.0,-15479.0,25156.0,30755.0,-40635.0,1.9868854577169068,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 08:00:00+01:00,2024-07-30 09:00:00+01:00,2024-07-30 07:00:00+00:00,2024-07-30 08:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 07:15:00+00:00,True,False,True,balanced_or_loose,-121.5,-16618.0,26337.5,29520.0,-42955.5,1.7763870501865446,imbalance_neutral,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 09:00:00+01:00,2024-07-30 10:00:00+01:00,2024-07-30 08:00:00+00:00,2024-07-30 09:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 08:15:00+00:00,True,False,True,moderate_imbalance,-256.0,-16797.0,25588.5,29556.5,-42385.5,1.759629695779008,imbalance_negative,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
2024-07-30,2024-07-30 10:00:00+01:00,2024-07-30 11:00:00+01:00,2024-07-30 09:00:00+00:00,2024-07-30 10:00:00+00:00,elexon,public_system_balance,IMBALNGC|INDDEM|INDGEN|MELNGC,IMBALNGC|INDDEM|INDGEN|MELNGC,2024-07-30 09:15:00+00:00,True,False,True,moderate_imbalance,496.0,-16660.0,24871.0,30833.0,-41531.0,1.850720288115246,imbalance_positive,margin_loose,elexon:IMBALNGC|INDDEM|INDGEN|MELNGC
